EmployeeID,Attrition
6110001,0
6110002,0
6110003,0
6110004,0
6110005,1
6110006,0
6110007,0
6110008,1
6110009,0
6110010,0
6110011,0
6110012,0
6110013,0
6110014,0
6110015,0
6110016,0
6110017,0
6110018,1
6110019,0
6110020,0
6110021,0
6110022,0
6110023,1
6110024,0
6110025,0
6110026,0
6110027,0
6110028,0
6110029,0
6110030,0
6110031,1
6110032,0
6110033,0
6110034,0
6110035,0
6110036,0
6110037,0
6110038,0
6110039,1
6110040,0
6110041,0
6110042,0
6110043,0
6110044,0
6110045,0
6110046,0
6110047,0
6110048,1
6110049,1
6110050,0
6110051,0
6110052,0
6110053,0
6110054,0
6110055,0
6110056,1
6110057,0
6110058,0
6110059,0
6110060,1
6110061,0
6110062,0
6110063,0
6110064,0
6110065,1
6110066,0
6110067,0
6110068,0
6110069,0
6110070,1
6110071,0
6110072,0
6110073,0
6110074,0
6110075,1
6110076,0
6110077,0
6110078,1
6110079,0
6110080,0
6110081,0
6110082,0
6110083,1
6110084,1
6110085,0
6110086,0
6110087,0
6110088,0
6110089,0
6110090,0
6110091,0
6110092,0
6110093,0
6110094,0
6110095,1
6110096,1
6110097,0
6110098,0
6110099,0
6110100,0
6110101,0
6110102,1
6110103,0
6110104,0
6110105,0
6110106,0
6110107,0
6110108,0
6110109,0
6110110,1
6110111,0
6110112,0
6110113,1
6110114,0
6110115,0
6110116,0
6110117,0
6110118,0
6110119,0
6110120,0
6110121,0
6110122,0
6110123,0
6110124,0
6110125,0
6110126,0
6110127,0
6110128,1
6110129,0
6110130,0
6110131,0
6110132,1
6110133,0
6110134,0
6110135,0
6110136,1
6110137,0
6110138,0
6110139,1
6110140,0
6110141,0
6110142,1
6110143,0
6110144,0
6110145,0
6110146,1
6110147,1
6110148,0
6110149,0
6110150,0
6110151,0
6110152,0
6110153,0
6110154,0
6110155,1
6110156,0
6110157,0
6110158,0
6110159,0
6110160,0
6110161,0
6110162,0
6110163,0
6110164,0
6110165,0
6110166,0
6110167,1
6110168,1
6110169,1
6110170,0
6110171,0
6110172,0
6110173,0
6110174,0
6110175,0
6110176,0
6110177,0
6110178,0
6110179,0
6110180,0
6110181,0
6110182,0
6110183,0
6110184,0
6110185,1
6110186,0
6110187,0
6110188,0
6110189,0
6110190,0
6110191,0
6110192,1
6110193,1
6110194,1
6110195,0
6110196,0
6110197,0
6110198,1
6110199,0
6110200,0
6110201,0
6110202,0
6110203,0
6110204,1
6110205,1
6110206,0
6110207,0
6110208,0
6110209,1
6110210,0
6110211,0
6110212,0
6110213,0
6110214,0
6110215,0
6110216,0
6110217,0
6110218,0
6110219,0
6110220,0
6110221,0
6110222,0
6110223,0
6110224,0
6110225,1
6110226,1
6110227,0
6110228,0
6110229,0
6110230,0
6110231,0
6110232,0
6110233,0
6110234,0
6110235,0
6110236,0
6110237,0
6110238,0
6110239,0
6110240,0
6110241,0
6110242,0
6110243,0
6110244,0
6110245,0
6110246,1
6110247,1
6110248,0
6110249,0
6110250,0
6110251,0
6110252,0
6110253,0
6110254,1
6110255,0
6110256,0
6110257,0
6110258,0
6110259,0
6110260,0
6110261,0
6110262,0
6110263,0
6110264,0
6110265,1
6110266,0
6110267,0
6110268,0
6110269,0
6110270,0
6110271,1
6110272,0
6110273,0
6110274,0
6110275,0
6110276,0
6110277,0
6110278,1
6110279,0
6110280,0
6110281,1
6110282,0
6110283,0
6110284,1
6110285,1
6110286,0
6110287,0
6110288,0
6110289,0
6110290,0
6110291,0
6110292,1
6110293,0
6110294,1
6110295,0
6110296,0
6110297,0
6110298,1
6110299,0
6110300,0
6110301,0
6110302,0
6110303,1
6110304,0
6110305,0
6110306,0
6110307,0
6110308,1
6110309,0
6110310,1
6110311,1
6110312,0
6110313,0
6110314,1
6110315,0
6110316,0
6110317,1
6110318,1
6110319,0
6110320,0
6110321,1
6110322,1
6110323,0
6110324,0
6110325,0
6110326,1
6110327,0
6110328,1
6110329,1
6110330,0
6110331,0
6110332,0
6110333,0
6110334,0
6110335,0
6110336,0
6110337,0
6110338,0
6110339,0
6110340,0
6110341,0
6110342,0
6110343,0
6110344,1
6110345,1
6110346,0
6110347,0
6110348,0
6110349,0
6110350,1
6110351,1
6110352,0
6110353,0
6110354,0
6110355,0
6110356,0
6110357,0
6110358,0
6110359,0
6110360,0
6110361,0
6110362,0
6110363,0
6110364,0
6110365,0
6110366,0
6110367,1
6110368,0
6110369,0
6110370,0
6110371,0
6110372,1
6110373,1
6110374,0
6110375,1
6110376,1
6110377,0
6110378,0
6110379,0
6110380,0
6110381,0
6110382,0
6110383,0
6110384,1
6110385,0
6110386,0
6110387,1
6110388,1
6110389,0
6110390,0
6110391,0
6110392,0
6110393,0
6110394,0
6110395,0
6110396,0
6110397,0
6110398,0
6110399,0
6110400,0
6110401,0
6110402,0
6110403,1
6110404,0
6110405,1
6110406,0
6110407,0
6110408,0
6110409,0
6110410,0
6110411,0
6110412,0
6110413,1
6110414,0
6110415,0
6110416,0
6110417,1
6110418,1
